15	702445	1697636
6	1314392	2014198
2	8668859	8839227
58	12521755	13749642
46	16612540	17415709
2	37714745	37826968
4	57288465	57408242
2	67485262	67607550
8	83101150	83780899
4	95268437	95527429
20	103762947	104253525
17	112958658	116542895
2	172735904	172836399
2	174297609	174457198
2	230661638	231474039
48	245916096	247134313
18	25415444	25611481
27	105776578	106209345
13	140903396	142096907
120	142642781	148082160
30	159610879	161141819
10	237832717	238461616
19	2315869	2723447
1	16760883	16764275
9	34862127	34887955
28	72389150	72698844
1	107175823	107206654
10	110019656	110059006
11	112396182	112594062
2	144036453	144091155
40	146151735	148262603
2	147955478	148119731
6	150445059	150458231
37	150720293	151164777
3	151013059	151040222
16	153361602	154184585
1	153511518	153514946
7	196738880	196765231
12	205624502	205991690
9	216247751	216282164
20	377	1008567
1	12066125	12263549
2	142122088	142356882
1	142690296	142785224
50	194857460	195436395
10	236008417	236834725
1	6717817	6720271
14	10160657	10505141
1	17097845	17126415
2	17126415	17137953
1	55496405	55497788
9	62052182	62290535
2	65946538	65951791
1	66030426	66041654
11	94892378	94931191
1	94923454	94925850
22	111142680	111196092
12	119553635	120016100
6	147314918	147425688
2	147495710	147509945
1	195882014	195968848
1	198365160	198371615
1	231303195	231308213
6	10595781	10782506
5	46092101	46279011
5	86173303	86177711
2	87409982	87412646
2	101781132	101787166
1	113409780	113416967
1	113884455	113897620
2	114609082	114610154
3	144594476	145301974
1	147308446	147356586
2	147484617	147507662
1	148945534	148947612
2	149010116	149059240
1	158929056	158941968
1	159887552	159901749
2	162504226	162589049
1	164097752	164106356
1	167114988	167155209
11	173060767	173068467
11	187967807	188086110
7	241103290	241534705
1	12783336	12790824
1	43689996	43706276
1	88089816	88098295
1	91563464	91573795
2	143852300	143999773
1	147467750	147484617
8	149507166	149679804
1	150346613	150350663
1	207188300	207192596
8	227866306	227897812
15	21566164	22285444
2	22798842	23135997
23	108420397	108898201
1	146578326	146719169
1	194526471	194685639
3	204922611	205124381
2	3567200	3710699
7	7412584	7610646
2	14167192	14244987
3	16000067	16051776
1	25318097	25336438
1	30478922	30514243
17	31454967	32238918
4	38901188	38910242
3	53261038	53340309
3	55042239	55081197
1	72869688	72887793
6	75759492	75960336
3	77011006	77077991
4	77547001	77561050
1	81660005	81669334
3	102138728	102207718
4	106378678	106683105
3	107285151	107642406
1	111588918	111596256
3	111625374	111637017
3	144308473	144724627
1	150949332	151005850
7	160241240	160769980
3	163684150	163692160
3	164758503	164917609
3	168581705	168679916
8	176916511	176940811
2	183559820	183612394
19	187294778	187915951
4	188225729	188261835
11	190039595	190142375
5	191892800	191976999
2	193204702	193213877
12	194070387	194454288
1	198774133	198863600
7	206365585	206563741
5	208646146	208687402
5	210992052	211080005
